Database???Annual by Province
Indicators£ºLife Expectancy(age)
Year£ºLATEST20
Region,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Beijing,,,,,,,,,,,,,80.18,,,,,,,
Tianjin,,,,,,,,,,,,,78.89,,,,,,,
Hebei,,,,,,,,,,,,,74.97,,,,,,,
Shanxi,,,,,,,,,,,,,74.92,,,,,,,
Inner Mongolia,,,,,,,,,,,,,74.44,,,,,,,
Liaoning,,,,,,,,,,,,,76.38,,,,,,,
Jilin,,,,,,,,,,,,,76.18,,,,,,,
Heilongjiang,,,,,,,,,,,,,75.98,,,,,,,
Shanghai,,,,,,,,,,,,,80.26,,,,,,,
Jiangsu,,,,,,,,,,,,,76.63,,,,,,,
Zhejiang,,,,,,,,,,,,,77.73,,,,,,,
Anhui,,,,,,,,,,,,,75.08,,,,,,,
Fujian,,,,,,,,,,,,,75.76,,,,,,,
Jiangxi,,,,,,,,,,,,,74.33,,,,,,,
Shandong,,,,,,,,,,,,,76.46,,,,,,,
Henan,,,,,,,,,,,,,74.57,,,,,,,
Hubei,,,,,,,,,,,,,74.87,,,,,,,
Hunan,,,,,,,,,,,,,74.70,,,,,,,
Guangdong,,,,,,,,,,,,,76.49,,,,,,,
Guangxi,,,,,,,,,,,,,75.11,,,,,,,
Hainan,,,,,,,,,,,,,76.30,,,,,,,
Chongqing,,,,,,,,,,,,,75.70,,,,,,,
Sichuan,,,,,,,,,,,,,74.75,,,,,,,
Guizhou,,,,,,,,,,,,,71.10,,,,,,,
Yunnan,,,,,,,,,,,,,69.54,,,,,,,
Tibet,,,,,,,,,,,,,68.17,,,,,,,
Shaanxi,,,,,,,,,,,,,74.68,,,,,,,
Gansu,,,,,,,,,,,,,72.23,,,,,,,
Qinghai,,,,,,,,,,,,,69.96,,,,,,,
Ningxia,,,,,,,,,,,,,73.38,,,,,,,
Xinjiang,,,,,,,,,,,,,72.35,,,,,,,
Note:Life expectancy are calculated according to the National Population Census.
Data Sources£ºNational Bureau of Statistics
